pool_id,country,city,provider,speed,hostname,ip,port_wss,port_alt,url
2633,TH,Pathum Thani,Shama Tunder,2 Gb/s,th-shamathunder-pathumthani-01-2g.nperf.net,61.91.246.158,443,8443,wss://th-shamathunder-pathumthani-01-2g.nperf.net/wsock
2948,TH,Samut Prakan,3BB,10 Gb/s,th-3bb-samutprakarn-01-10g.nperf.net,110.164.2.210,443,8443,wss://th-3bb-samutprakarn-01-10g.nperf.net:8443/wsock
2958,TH,Chiang Mai,3BB,10 Gb/s,th-3bb-chiangmai-01-10g.nperf.net,110.164.3.253,443,8443,wss://th-3bb-chiangmai-01-10g.nperf.net/wsock
2959,TH,Chon Buri,3BB,10 Gb/s,th-3bb-chonburi-01-10g.nperf.net,110.164.3.234,443,8443,wss://th-3bb-chonburi-01-10g.nperf.net/wsock
2963,TH,Khon Kaen,3BB,10 Gb/s,th-3bb-khonkaen-01-10g.nperf.net,110.164.3.226,443,8443,wss://th-3bb-khonkaen-01-10g.nperf.net/wsock
2967,TH,Nakhon Ratchasima,3BB,10 Gb/s,th-3bb-nakhonratchasima-01-10g.nperf.net,110.164.3.246,443,8443,wss://th-3bb-nakhonratchasima-01-10g.nperf.net/wsock
2977,TH,Nonthaburi,3BB,10 Gb/s,th-3bb-nonthaburi-01-10g.nperf.net,110.164.2.220,443,8443,wss://th-3bb-nonthaburi-01-10g.nperf.net/wsock
3034,TH,Phitsanulok,3BB,10 Gb/s,th-3bb-phitsanulok-01-10g.nperf.net,110.164.3.230,443,8443,wss://th-3bb-phitsanulok-01-10g.nperf.net/wsock
3058,TH,Surat Thani,3BB,10 Gb/s,th-3bb-suratthani-01-10g.nperf.net,110.164.3.222,443,8443,wss://th-3bb-suratthani-01-10g.nperf.net/wsock
3060,TH,Saraburi,3BB,10 Gb/s,th-3bb-saraburi-01-10g.nperf.net,110.164.3.250,443,8443,wss://th-3bb-saraburi-01-10g.nperf.net/wsock
3104,TH,Ubon Ratchathani,3BB,10 Gb/s,th-3bb-ubonratchathani-01-10g.nperf.net,110.164.3.252,443,8443,wss://th-3bb-ubonratchathani-01-10g.nperf.net/wsock
3170,TH,Songkhla,3BB,10 Gb/s,th-3bb-songkhia-01-10g.nperf.net,110.164.3.208,443,8443,wss://th-3bb-songkhia-01-10g.nperf.net:8443/wsock
3181,TH,Nakhon Si Thammarat,3BB,10 Gb/s,th-3bb-nakhonsithammarat-01-10g.nperf.net,110.164.3.236,443,8443,wss://th-3bb-nakhonsithammarat-01-10g.nperf.net/wsock
3626,TH,Khon Kaen,National Telecom,10 Gb/s,th-tot-khonkaen-01-10g.nperf.net,203.113.47.52,443,8443,wss://th-tot-khonkaen-01-10g.nperf.net/wsock
3640,TH,Nakhon Ratchasima,National Telecom,10 Gb/s,th-tot-nakhonratchasima-01-10g.nperf.net,203.113.47.60,443,8443,wss://th-tot-nakhonratchasima-01-10g.nperf.net/wsock
3645,TH,Songkhla,National Telecom,10 Gb/s,th-tot-songkhla-01-10g.nperf.net,203.113.47.84,443,8443,wss://th-tot-songkhla-01-10g.nperf.net/wsock
3690,TH,Ayutthaya,3BB,10 Gb/s,th-3bb-ayutthaya-01-10g.nperf.net,110.164.3.212,443,8443,wss://th-3bb-ayutthaya-01-10g.nperf.net/wsock
3691,TH,Chiang Rai,3BB,10 Gb/s,th-3bb-chiangrai-01-10g.nperf.net,110.164.3.210,443,8443,wss://th-3bb-chiangrai-01-10g.nperf.net/wsock
3700,TH,Sakon Nakhon,3BB,10 Gb/s,th-3bb-sakonnakhon-01-10g.nperf.net,110.164.3.235,443,8443,wss://th-3bb-sakonnakhon-01-10g.nperf.net/wsock
3704,TH,Rayong,3BB,10 Gb/s,th-3bb-rayong-01-10g.nperf.net,110.164.3.239,443,8443,wss://th-3bb-rayong-01-10g.nperf.net/wsock
3709,TH,Nakhon Sawan,3BB,10 Gb/s,th-3bb-nakhonsawan-01-10g.nperf.net,110.164.3.211,443,8443,wss://th-3bb-nakhonsawan-01-10g.nperf.net/wsock
3983,TH,Pattani,3BB,10 Gb/s,th-3bb-pattani-01-10g.nperf.net,110.164.3.228,443,8443,wss://th-3bb-pattani-01-10g.nperf.net/wsock
4171,TH,Nakhon Sawan,CAT Telecom,10 Gb/s,th-cattelecom-nakhonsawan-01-10g.nperf.net,110.78.188.218,443,8443,wss://th-cattelecom-nakhonsawan-01-10g.nperf.net/wsock
5773,TH,Nakhon Sawan,AIS,10 Gb/s,th-ais-nakhonsawan-01-10g.nperf.net,58.64.60.20,443,8443,wss://th-ais-nakhonsawan-01-10g.nperf.net/wsock
5778,TH,Lopburi,AIS,10 Gb/s,th-ais-lopburi-01-10g.nperf.net,58.64.53.20,443,8443,wss://th-ais-lopburi-01-10g.nperf.net/wsock
5785,TH,Phuket,AIS,10 Gb/s,th-ais-phuket-01-10g.nperf.net,58.64.55.20,443,8443,wss://th-ais-phuket-01-10g.nperf.net/wsock
5787,TH,Nakhon Si Thammarat,AIS,10 Gb/s,th-ais-nakhonsithammarat-01-10g.nperf.net,58.64.63.20,443,8443,wss://th-ais-nakhonsithammarat-01-10g.nperf.net/wsock
5920,TH,Pattani,AIS,10 Gb/s,th-ais-pattani-01-10g.nperf.net,58.64.63.20,443,8443,wss://th-ais-pattani-01-10g.nperf.net/wsock
6650,TH,Chiang Mai,CATTelecom,10 Gb/s,th-cattelecom-chiangmai-01-10g.nperf.net,110.78.188.162,443,8443,wss://th-cattelecom-chiangmai-01-10g.nperf.net/wsock
6679,TH,Khon Kaen,CatTelecom,10 Gb/s,th-cattelecom-khonkaen-01-10g.nperf.net,110.78.188.178,443,8443,wss://th-cattelecom-khonkaen-01-10g.nperf.net/wsock
9888,TH,Bangkok,TCC Technology,10 Gb/s,th-tcctechnology-bangkok-01-1g.nperf.net,203.159.96.142,443,8443,wss://th-tcctechnology-bangkok-01-1g.nperf.net:8443/wsock
10476,TH,Bangkok,Hostify,50 Gb/s,th-hostify-bangkok-01-50g.nperf.net,188.212.159.171,443,8443,wss://th-hostify-bangkok-01-50g.nperf.net/wsock
11578,TH,Bangkok,CMKL University,10 Gb/s,th-cmkluniversity-bangkok-01-10g.nperf.net,103.153.118.212,443,8443,wss://th-cmkluniversity-bangkok-01-10g.nperf.net/wsock
